"lang"
{

	"Language"		"English"
		"DOTA_Tooltip_ability_kimi_clematis_dance_lore"					"Tessenka no Mai: Hana"
		"DOTA_Tooltip_ability_kimi_clematis_dance_description"			"Kimimaro encases his forearm in a giant drill made of bone. the strength of the bone increases Kimimaros damage. Last for 8 seconds or 3 hits. Attack Speed is highly increased and the last blow will stun the target for 1 second."
		"DOTA_Tooltip_ability_kimi_clematis_dance_bonus_dmg_percentage" "%INCREASED DAMAGE: "
		"DOTA_Tooltip_modifier_kimi_clematis_dance_dmg"				"Clematis Danc: Flower"
		"DOTA_Tooltip_modifier_kimi_clematis_dance_dmg_description" "This Unit has maximum attack speed and increased attack damage."
		 // Dance of the Willow
		"DOTA_Tooltip_ability_kimi_dance_of_the_willow"						"Dance of the Willow"
		"DOTA_Tooltip_ability_kimi_dance_of_the_willow_lore"				"Yanagi no Mai"
		"DOTA_Tooltip_ability_kimi_dance_of_the_willow_description"			"Kimimaro grows several long bone blades from his body to use as weapons. This dance form is incredibly acrobatic, using spins, charges, and long sweeping slashes to make the strikes more effective. Kimimaro has a 25% chance to activate this dance when he attacks, dealing damage based on his agility."
		"DOTA_Tooltip_ability_kimi_dance_of_the_willow_agility_percent" 	"%AGILITY AS MAGIC DAMAGE: "
		"DOTA_Tooltip_ability_kimi_dance_of_the_willow_chance" 				"%CHANCE: "
		 // Cursed Seal
		"DOTA_Tooltip_ability_kimi_cursed_seal"						"Cursed Seal"
		"DOTA_Tooltip_ability_kimi_cursed_seal_lore"				""
		"DOTA_Tooltip_ability_kimi_cursed_seal_description"			"Kimimaro unleashes his curse seal, which is stronger compared to the other cursed seals given by Orochimaru. While active grants +20 movement speed and increased agility with every hit."
		"DOTA_Tooltip_ability_kimi_cursed_seal_duration" 			"DURATION: "
		"DOTA_Tooltip_ability_kimi_cursed_seal_agility_gain" 		"AGILITY GAIN PER HIT: "
		 // Sawarabi No Mai
		"DOTA_Tooltip_ability_kimi_sawarabi_no_mai"						"Dance of the seedling fern"
		"DOTA_Tooltip_ability_kimi_sawarabi_no_mai_lore"				"Sawarabi No Mai"
		"DOTA_Tooltip_ability_kimi_sawarabi_no_mai_description"			"By using his blood-line limit, Kimimaro sends a massive wave of bones across the battlefield, destroying everything in it's path. Creates a boneyard in a 350 AOE."
		"DOTA_Tooltip_ability_kimi_sawarabi_no_mai_radius" 			"AOE: "
		"DOTA_Tooltip_ability_kimi_sawarabi_no_mai_life_percentage_damage" 		"%CURRENT LIFE DAMAGE: "
		"DOTA_Tooltip_ability_kimi_sawarabi_no_mai_ms_slow" 		"MS DEBUFF: "
		"DOTA_Tooltip_ability_kimi_sawarabi_no_mai_damage" 		"DAMAGE: "
		"DOTA_Tooltip_ability_kimi_sawarabi_no_mai_slow_duration" 	"MS DEBUFF DURATION: "



		//--------------------
		//Mei
		//--------------------
		"npc_dota_hero_phoenix" "Mei"
		// Futton: Komu no Jutsu
		"DOTA_Tooltip_ability_mei_komu_no_jutsu"						"Futton: Komu no Jutsu"
		"DOTA_Tooltip_ability_mei_komu_no_jutsu_lore"					"Futton: Komu no Jutsu"
		"DOTA_Tooltip_ability_mei_komu_no_jutsu_description"			"Mei uses her Boil Release to create a corrosive mist which she releases from her mouth. The cone-shaped jutsu lasts for 4 seconds and reduces the magic resistance of all enemy units inside the cone."
		"DOTA_Tooltip_ability_mei_komu_no_jutsu_duration" "DURATION: "
		"DOTA_Tooltip_ability_mei_komu_no_jutsu_mr_reduction" "%MR DEBUFF: "
		"DOTA_Tooltip_ability_mei_komu_no_jutsu_mr_remove_per_second" "%MR REGAIN PER SECOND: "
		"DOTA_Tooltip_ability_mei_komu_no_jutsu_cast_range" "RANGE: "
		"DOTA_Tooltip_modifier_mei_komu_mr_reduction"				"Futton: Komu no Jutsu"
		"DOTA_Tooltip_modifier_mei_komu_mr_reduction_description" "This Unit has decreased magic resistance."
		 // Yoton: Yokai no Jutsu
		"DOTA_Tooltip_ability_mei_yokai_no_jutsu"						"Yoton: Yokai no Jutsu"
		"DOTA_Tooltip_ability_mei_yokai_no_jutsu_lore"				"Yoton: Yokai no Jutsu"
		"DOTA_Tooltip_ability_mei_yokai_no_jutsu_description"			"The Fifth Mizukage releases a large amount of lava from her mouth, burning anything caught in its path.  Deals damage and slows units for each debuff on them, stacking a maximum of 1/1/2/3 time. Lasts for 2.5 seconds."
		"DOTA_Tooltip_ability_mei_yokai_no_jutsu_damage" 	"DAMAGE: "
		"DOTA_Tooltip_ability_mei_yokai_no_jutsu_cast_range" 				"RANGE: "
		"DOTA_Tooltip_ability_mei_yokai_no_jutsu_duration" 				"DEBUFF DURATION: "
		"DOTA_Tooltip_ability_mei_yokai_no_jutsu_slow_percent_per_stack" "%MS DEBUFF PER STACK: "
		"DOTA_Tooltip_ability_mei_yokai_no_jutsu_max_debuff_stack" 				"MAX STACKS: "
		"DOTA_Tooltip_modifier_mei_yokai_ms_slow"				"Yoton: Yokai no Jutsu"
		"DOTA_Tooltip_modifier_mei_yokai_ms_slow_description" "This Unit has decreased movement speed."
		 // Lava Release: Lava Globs
		"DOTA_Tooltip_ability_mei_lava_globs"						"Lava Release: Lava Globs"
		"DOTA_Tooltip_ability_mei_lava_globs_lore"					"Lava Release: Lava Globs"
		"DOTA_Tooltip_ability_mei_lava_globs_description"			"Mei releases small globes of lava which affect an enemy hero's accuracy. Deals damages based of Mei's Intelligence and reduces enemy hero's accuracy over 2.5 seconds."
		"DOTA_Tooltip_ability_mei_lava_globs_damage_percent_int" 			"%INT AS DAMAGE: "
		"DOTA_Tooltip_ability_mei_lava_globs_hero_accuracy" 		"%MISS CHANCE DEBUFF: "
		"DOTA_Tooltip_ability_mei_lava_globs_debuff_duration" 		"DEBUFF DURATION: "
		"DOTA_Tooltip_modifier_lava_glob_accuracy"				"Lava Release: Lava Globs"
		"DOTA_Tooltip_modifier_lava_glob_accuracy_description" "This Unit has a chance to miss its attack."
		 // Pressence
		"DOTA_Tooltip_ability_mei_pressence"						"Pressence"
		"DOTA_Tooltip_ability_mei_pressence_lore"				""
		"DOTA_Tooltip_ability_mei_pressence_description"			"Mei's calmness in battle stems from her extraordinary leadership abilities. Each time she uses a jutsu, she gains a certain amount of Int which lasts for 6 seconds."
		"DOTA_Tooltip_ability_mei_pressence_bonus_int_per_stack" 			"AOE: "
		"DOTA_Tooltip_ability_mei_pressence_max_stacks" 		"%CURRENT LIFE DAMAGE: "
		"DOTA_Tooltip_ability_mei_pressence_duration" 		"MS DEBUFF: "
		"DOTA_Tooltip_ability_mei_pressence_damage" 		"DAMAGE: "
		"DOTA_Tooltip_ability_mei_pressence_slow_duration" 	"MS DEBUFF DURATION: "
		"DOTA_Tooltip_modifier_mei_pressence"				"Pressence"
		"DOTA_Tooltip_modifier_mei_pressence_description" "This Unit has increased Intelligence."


		//--------------------
		//Hidan
		//--------------------
		"npc_dota_hero_hidan" "Hidan"
		"npc_dota_hero_hidan_lore"  								"The only true immortal known in the shinobi world, Hidan is a ruthless worshipper of Jashin and a member of Akatsuki. Through experimenting with the various techniques of his religion, Hidan has gained the ability to survive any injury. Even if he is decapitated Hidan will still survive, although he cannot control the rest of his body. Despite being a religious man Hidan is known to be an extremely disrespectful shinobi. He constantly complains and swears to his allies, including his superiors. The only respect he ever gives is to his god whom he works to fulfil his commandments. His insistence on following his religion’s laws often brings him into conflict with his partner Kakuzu. Since he is unable to be killed by any attack, Hidan and Kakuzu were a perfect team as Kakuzu’s rage could never kill the immortal. His extreme durability and raw strength are what allowed him to become a valued member of Akatsuki."

		// Cull the Weak
		"DOTA_Tooltip_ability_hidan_cull_the_weak"						"<b><font color='#9C352C'> Cull The Weak </font></b>"
		"DOTA_Tooltip_ability_hidan_cull_the_weak_description"			"<b><font color='#9C352C'>Pulls enemy units</font></b> in front of Hidan dealing <b>Physical Damage</b> and a <b>Movement Speed Slow.</b> <br><br> <b><font color='#9C352C'>Costs Health</font></b> from Hidan if an enemy is hit by the attack. <br><br> <b><font color='#9C352C'>Deals double damage</font></b> to creeps."
		"DOTA_Tooltip_ability_hidan_cull_the_weak_hero_damage"			"HERO DAMAGE: "
		"DOTA_Tooltip_ability_hidan_cull_the_weak_creep_damage"			"CREEP DAMAGE: "
		"DOTA_Tooltip_ability_hidan_cull_the_weak_ms_slow_percentage"	"%MOVEMENT SPEED DEBUFF: "
		"DOTA_Tooltip_ability_hidan_cull_the_weak_hp_percentage_cost"	"%MAXIMUM HEALTH COST: "

		"DOTA_Tooltip_modifier_hidan_cull_the_weak_ms_slow"				"<b><font color='#9C352C'> Cull The Weak </font></b>"
		"DOTA_Tooltip_modifier_hidan_cull_the_weak_ms_slow_description" "This Unit is <b><font color='#9C352C'>slowed.</font></b>"

		// Taunt
		"DOTA_Tooltip_ability_hidan_taunt"									"<b><font color='#D12314'> Taunt </font></b>"
		"DOTA_Tooltip_ability_hidan_taunt_description"						"Hidan taunts nearby enemies <b><font color='#D52516'>forcing them to attack him.</font></b> <br><br> Each basic attack Hidan takes during the taunt duration<b><font color='#D52516'> grants him temporary Strength. </font></b>"
		"DOTA_Tooltip_ability_hidan_taunt_radius"							"RADIUS: "
		"DOTA_Tooltip_ability_hidan_taunt_duration"							"TAUNT DURATION: "
		"DOTA_Tooltip_ability_hidan_taunt_str_gain_hero"					"STRENGTH GAIN HRO: "
		"DOTA_Tooltip_ability_hidan_taunt_str_gain_not_hero"				"STRENGTH GAIN UNIT: "
		"DOTA_Tooltip_ability_hidan_taunt_str_duration"						"STRENGTH BUFF DURATION: "
		"DOTA_Tooltip_modifier_hidan_taunt_bonus_str"						"<b><font color='#D12314'> Taunt </font></b>"
		"DOTA_Tooltip_modifier_hidan_taunt_bonus_str_description"			"This Unit has increased <b><font color='#D12314'>Strength.</font></b>"
		"DOTA_Tooltip_modifier_beserkers_call_enemy_datadriven"				"<b><font color='#D12314'> Taunt </font></b>"
		"DOTA_Tooltip_modifier_beserkers_call_enemy_datadriven_description"	"This Unit is <b><font color='#D12314'>forced to attack</font></b> Hidan."

		// Jashin's Blessing
		"DOTA_Tooltip_ability_hidan_jashins_blessing"						"<b><font color='#C64F45'> Jashin's Blessing </font></b>"
		"DOTA_Tooltip_ability_hidan_jashins_blessing_description"			"<b><font color='#C64F45'> Upon taking fatal damage,</font></b> Hidan avoids death. <br><br> Instead, a percentage of his maximum<b><font color='#C64F45'> Health is restored.</font></b>"
		"DOTA_Tooltip_ability_hidan_jashins_blessing_reset_hp_percentage"	"%MAXIMUM HEALTH RESTORED: "
		"DOTA_Tooltip_modifier_jashins_blessing"					"<b><font color='#C64F45'> Jashin's Blessing </font></b>"
		"DOTA_Tooltip_modifier_jashins_blessing_description"		"Hidan will <b><font color='#C64F45'>restore Health</font></b> upon taking fatal damage."

		// Death Possession Blood
		"DOTA_Tooltip_ability_hidan_death_possession_blood"						"<b><font color='#B5B5B5'> Death Possession Blood </font></b>"
		"DOTA_Tooltip_ability_hidan_death_possession_blood_description"			"<b><font color='#FFFFFF'>PASSIVE </font></b>- Hidan <b><font color='#D52516'>stores blood</font></b> from the most recent hero attacked. <br><br> <b><font color='#FFFFFF'>ACTIVE</font></b> - Creates a symbol on the ground, causing a percentage of damage taken by Hidan to <b><font color='#9C352C'>also be inflicted upon the enemy hero</font></b> who's blood Hidan currently possesses. <br><br> Enemies take full damage while Hidan <b><font color='#C64F45'>remains within the symbol.</font></b> <br><br> Grants the ability to inflict <b><font color='#880808'>Self Pain</font></b> while active."
		"DOTA_Tooltip_ability_hidan_death_possession_blood_radius"				"SYMBOL RADIUS: "
		"DOTA_Tooltip_ability_hidan_death_possession_blood_duration"			"DURATION: "
		"DOTA_Tooltip_ability_hidan_death_possession_blood_returned_damage_outside_percentage"	"%DAMAGE SHARED OUTSIDE CIRCLE: "
		"DOTA_Tooltip_ability_hidan_death_possession_blood_returned_damage_inside_percentage"	"%DAMAGE SHARED INSIDE CIRCLE: "
		"DOTA_Tooltip_modifier_hidan_metamorphosis"							"<b><font color='#B5B5B5'> Death Possession Blood </font></b>"
		"DOTA_Tooltip_modifier_hidan_metamorphosis_description"				"Damage taken by Hidan is also <b><font color='#B5B5B5'>dealt to cursed foe.</font></b>"
		"DOTA_Tooltip_modifier_death_possession_blood_caster_on_attack"								"<b><font color='#9C352C'>Bloodlust</font></b>"
		"DOTA_Tooltip_modifier_death_possession_blood_Caster_on_attack_description"								"Takes the blood from the <b><font color='#9C352C'>next Hero Hidan attacks.</font></b>"
		"DOTA_Tooltip_modifier_death_possession_blood_target"								"<b><font color='#B5B5B5'>Death Possession Target</font></b>"
		"DOTA_Tooltip_modifier_death_possession_blood_target_Description"								"The Unit is dealt a percentage of <b><font color='#D12314'>damage taken by Hidan</font></b> if <b><font color='#B5B5B5'> Death Possession Blood</font></b> is active."
		"DOTA_Tooltip_modifier_death_possession_blood_caster_status"								"<b><font color='#D12314'> Blood Taken </font></b>"
		"DOTA_Tooltip_modifier_death_possession_blood_caster_status_description"								"Hidan possesses an <b><font color='#D12314'>enemy's blood.</font></b>"
		"DOTA_Tooltip_modifier_death_possession_blood_dummy_aura_inside_ring"								"<b><font color='#C64F45'> Inside Ritual Circle </font></b>"
		"DOTA_Tooltip_modifier_death_possession_blood_dummy_aura_inside_ring_Description"								"<b><font color='#C64F45'> All of the damage </font></b> taken by Hidan is dealt to the cursed target."
		"DOTA_Tooltip_modifier_death_possession_blood_caster_buff"								"<b><font color='#B5B5B5'> Death Possession Blood </font></b>"
		"DOTA_Tooltip_modifier_death_possession_blood_caster_buff_Description"								"A percentage of damage taken by Hidan is <b><font color='#B5B5B5'>dealt to the cursed target.</font></b>"




		// Self Pain
		"DOTA_Tooltip_ability_hidan_self_pain"							"<b><font color='#880808'> Self Pain </font></b>"
		"DOTA_Tooltip_ability_hidan_self_pain_damage"					"DAMAGE: "
		"DOTA_Tooltip_ability_hidan_self_pain_description"				"Hidan impales himself in a vital area <b><font color='#880808'>dealing Pure Damage to himself.</font></b> <br><br> Hidan cannot die from this ability. <br><br> Requires <b><font color='#B5B5B5'>Death Possession Blood</font></b> to be active in order to use."


		//--------------------
		//Kidoumaru
		//--------------------
		"npc_dota_hero_windrunner"  "Kidoumaru"

		//--------------------
		//Madara
		//--------------------
		"npc_dota_hero_madara"  										"Madara"
		"npc_dota_hero_madara_lore"  								"Widely considered to be the strongest Uchiha to have ever lived, Uchiha Madara is a legendary shinobi who was the leader of his clan before he became a co-founder of Konohagakure. Madara was the first of his clan to gain the Eternal Mangekyo Sharingan after inheriting his brother’s eyes. This newfound power elevated him to the top of the Uchiha hierarchy where he constantly waged war with their rival clan, the Senju. After being defeated in battle, Madara agreed to an alliance proposed by Hashirama to unite as a single ninja village. However, his rivalry with his lifelong rival Hashirama Senju did not end after their agreement to ally under Konoha and it soon led to a deathmatch between the two legendary shinobi at the Valley of the End. Although Madara had lost the battle for Konoha, he had survived and managed to acquire some of Hashirama’s DNA. Filled with new purpose, Madara began preparations for his Eye of the Moon plan which would set the entire ninja world under an eternal genjutsu."

		// Fire Release: Great Fire Annihilation (Katon: Goka Mekkyaku)
		"DOTA_Tooltip_ability_madara_fire_release"						"<b><font color='#EA2D07'>Great Fire Annihilation</font></b>"
		"DOTA_Tooltip_ability_madara_fire_release_description"			"<b><font color='#EA2D07'>Sends out a wave of fire</font></b> towards the target point dealing <b>Magic Damage</b> and dragging all enemies along with it. <br><br> Upon reaching maximum distance, the fire wave will <b><font color='#EA2D07'>explode dealing Magic Damage and Stunning</font></b> all enemies within the area. <br><br> Any trees touched by this ability will burn if <b><font color='#23A32C'>Deep Forest Emergence</font></b> is leveled."
		"DOTA_Tooltip_ability_madara_fire_release_lore"					"Katon: Goka Mekkyaku"
		"DOTA_Tooltip_ability_madara_fire_release_fire_range"			"RANGE: "
		"DOTA_Tooltip_ability_madara_fire_release_wave_damage"			"WAVE DAMAGE: "
		"DOTA_Tooltip_ability_madara_fire_release_explosion_damage"		"EXPLOSION DAMAGE: "
		"DOTA_Tooltip_ability_madara_fire_release_explosion_stun_duration"		"STUN DURATION: "

		// Wood Release: Deep Forest Emergence (Mokuton: Jukai Kotan)
		"DOTA_Tooltip_ability_madara_wood_release"						"<b><font color='#23A32C'>Deep Forest Emergence</font></b>"
		"DOTA_Tooltip_ability_madara_wood_release_description"			"<b><font color='#FFFFFF'>ACTIVE</font></b> - <b><font color='#23A32C'>Creates a ring of trees</font></b> that circle a target area for a short period time. <br><br><b><font color='#FFFFFF'>PASSIVE </font></b>- Trees affected by Madara's other abilities are <b><font color='#EA2D07'>set on fire dealing Magic Damage</font></b> and reducing the <b>Movement Speed</b> of nearby enemies."
		"DOTA_Tooltip_ability_madara_wood_release_lore"					"Mokuton: Jukai Kotan"
		"DOTA_Tooltip_ability_madara_wood_release_tree_burn_duration"	"BURN DEBUFF DURATION: "
		"DOTA_Tooltip_ability_madara_wood_release_burn_damage"			"BURN DAMAGE: "
		"DOTA_Tooltip_ability_madara_wood_release_burn_ms_slow_percentage"	"%BURN MOVEMENT SPEED SLOW: "
		"DOTA_Tooltip_ability_madara_wood_release_cd_reduc"				"CD REDUCTION (TALENT): "
		
		"DOTA_Tooltip_ability_madara_wood_release_tree_duration"		"TREE DURATION: "

		"DOTA_Tooltip_modifier_madara_burning_tree_dot"					"<b><font color='#EA2D07'>Burned</font></b>"
		"DOTA_Tooltip_modifier_madara_burning_tree_dot_description"		"The unit is <b><font color='#EA2D07'>Slowed</font></b> and taking <b><font color='#EA2D07'>Damage over time.</font></b>"
		
		// Susano’o Ribcage
		"DOTA_Tooltip_ability_madara_susano"							"<b><font color='#3D79E5'>Susano'o Ribcage</font></b>"
		"DOTA_Tooltip_ability_madara_susano_description"				"<b><font color='#FFFFFF'>TOGGLE</font></b> - While active, Madara deals <b><font color='#3D79E5'>Magic Damage to nearby enemies</font></b> while draining his Mana. <br><br> Madara also gains <b><font color='#3D79E5'>increased Magic Resistance</font></b> while active. <br><br> While toggled on, any trees within radius of Madara will burn if <b><font color='#23A32C'>Deep Forest Emergence</font></b> is leveled."
		"DOTA_Tooltip_ability_madara_susano_burn_radius"			"RADIUS: "
		"DOTA_Tooltip_ability_madara_susano_magic_resistance_percent"	"%BONUS MAGIC RESISTANCE: "
		"DOTA_Tooltip_ability_madara_susano_mana_cost_per_second"	"MANACOST PER SECOND: "	
		"DOTA_Tooltip_ability_madara_susano_damage"					"DAMAGE: "	
		
		"DOTA_Tooltip_modifier_madara_susano_caster_active"					"<b><font color='#3D79E5'>Susano'o Ribcage</font></b>"
		"DOTA_Tooltip_modifier_madara_susano_caster_active_description"					"This Unit has increased <b><font color='#3D79E5'>Magic Resistance</font></b> and deals <b><font color='#3D79E5'>Damage to nearby enemies.</font></b>"

		// Susano’o Ribcage activated
		"DOTA_Tooltip_ability_madara_susano_active"						"<b><font color='#004CD5'>Susano'o Ribcage</font></b>"
